Date,Close Price,WAP,No.of Shares,No. of Trades,% Deli. Qty to Traded Qty,Change,%Change,Volatilty ,Annualized volatility,moving_average
24-Nov-16,712.5,710.6977492,1555,107,62.32,0.012937162,1.293716235,0.019497272,,
25-Nov-16,715.55,714.8879728,2062,154,33.37,0.004280702,0.428070175,0.019470975,,
28-Nov-16,694.3,700.475945,3492,242,44.16,-0.029697436,-2.969743554,0.019714752,,
29-Nov-16,694.25,698.6714976,828,81,47.46,-7.20E-05,-0.007201498,0.019712008,,
30-Nov-16,708.8,704.8705516,2248,204,30.6,0.020957868,2.09578682,0.019831273,,
01-Dec-16,702.55,706.7750429,1747,158,39.44,-0.00881772,-0.881772009,0.019622956,,
02-Dec-16,702.9,707.2181045,3292,281,18.07,0.000498185,0.049818518,0.019393546,,
05-Dec-16,705.8,702.9874776,559,68,34.35,0.004125765,0.412576469,0.019367273,,
06-Dec-16,709.95,709.5071429,700,43,44.57,0.005879853,0.587985265,0.019293108,,
07-Dec-16,698.3,705.5797302,2891,206,45.14,-0.016409606,-1.640960631,0.01938217,,
08-Dec-16,710.1,709.4752747,1092,99,51.1,0.016898181,1.68981813,0.019453929,,
09-Dec-16,724.85,723.045045,2109,134,54.81,0.020771722,2.077172229,0.019529501,,
12-Dec-16,720.1,724.5173021,1705,87,74.78,-0.00655308,-0.655307995,0.019542787,,
13-Dec-16,726.4,716.2029817,1744,69,53.56,0.008748785,0.874878489,0.019358527,,
14-Dec-16,715.45,717.0616967,778,41,81.36,-0.015074339,-1.507433921,0.019402511,,
15-Dec-16,724.25,724.0974596,2165,160,52.98,0.012299951,1.229995108,0.018390948,,
16-Dec-16,718.5,719.5373665,281,31,58.72,-0.007939247,-0.79392475,0.018340125,,
19-Dec-16,714.7,717.0870798,2469,84,82.26,-0.005288796,-0.52887961,0.018342532,,
20-Dec-16,697.5,698.5126202,1664,127,45.01,-0.024066042,-2.40660417,0.018521591,,
21-Dec-16,699.55,700.3119576,2074,158,57.71,0.002939068,0.29390681,0.018340891,,
22-Dec-16,683.05,685.5438293,1734,179,47.46,-0.023586591,-2.358659138,0.018524845,,
23-Dec-16,684.35,684.4449339,681,70,55.07,0.001903228,0.190322817,0.018523993,,
26-Dec-16,670.6,672.6524741,869,103,49.25,-0.020092058,-2.009205816,0.018641911,,
27-Dec-16,679,674.2321188,1482,112,41.36,0.012526096,1.252609603,0.01866991,,
28-Dec-16,672.95,678.1930541,979,144,33.91,-0.008910162,-0.8910162,0.018331334,,
29-Dec-16,670,674.4705882,612,85,46.08,-0.004383684,-0.438368378,0.018270799,,
30-Dec-16,680.3,680.0856698,642,71,31.15,0.015373134,1.537313433,0.018328191,,
02-Jan-17,667.85,668.0954879,953,137,71.88,-0.01830075,-1.830074967,0.018432236,,
03-Jan-17,664,666.3170815,2933,149,43.88,-0.005764768,-0.576476754,0.018405785,,
04-Jan-17,660.8,664.6150855,7716,143,91.36,-0.004819277,-0.481927711,0.018355447,,
05-Jan-17,664.2,664.2466534,3511,53,96.3,0.005145278,0.514527845,0.018313191,,
06-Jan-17,669.55,672.4519337,905,101,56.13,0.008054803,0.805480277,0.018307014,,
09-Jan-17,670.15,669.9162214,5240,74,94.66,0.000896124,0.089612426,0.018277707,,
10-Jan-17,670.2,670.5540586,2969,60,94.14,7.46E-05,0.007461016,0.018277542,,
11-Jan-17,682.1,677.7237796,13663,175,92.77,0.017755894,1.775589376,0.018335792,,
12-Jan-17,678.45,680.9856459,1881,83,58.48,-0.005351122,-0.535112154,0.018308973,,
13-Jan-17,679.5,677.9263804,652,64,27.91,0.001547645,0.154764537,0.018248954,,
16-Jan-17,686.8,683.251831,3550,116,84.62,0.010743194,1.074319352,0.018025755,,
17-Jan-17,685.15,692.6595451,1451,54,88.97,-0.002402446,-0.240244613,0.01802277,,
18-Jan-17,692.7,694.0107991,463,53,88.77,0.011019485,1.101948478,0.018012187,,
19-Jan-17,696.75,699.218593,4378,110,81.43,0.005846687,0.584668688,0.017388,,
20-Jan-17,676.45,675.0761899,17207,1212,6.95,-0.029135271,-2.91352709,0.017533934,,
23-Jan-17,678.45,677.0081906,1343,106,27.03,0.002956612,0.295661172,0.017510626,,
24-Jan-17,684.95,685.8672646,2230,204,60.72,0.009580662,0.95806618,0.017516128,,
